id,observed_on,user_id,quality_grade,url,image_url,description,num_identification_agreements,num_identification_disagreements,latitude,longitude,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_kingdom_name,taxon_phylum_name,taxon_class_name,taxon_order_name,taxon_family_name,taxon_genus_name,taxon_species_name,taxon_subspecies_name,field:eventid,field:field id,field:bin
9488714,5/23/2016,175394,research,https://www.inaturalist.org/observations/9488714,https://static.inaturalist.org/photos/12919654/medium.jpg?1516064282,"PLUME MOTH; spiky leg, geather wing, microlep
All photos copyright David Liittschwager, Natural History Photography.  Http://OneCubicFoot.com",1,0,-21.254069,47.421911,Stenodacma wahlbergi,Stenodacma wahlbergi,,Insecta,319629,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoridae,Stenodacma,Stenodacma wahlbergi,,CVB_01,XMAD_001,BOLD:ABW1161
9488716,5/23/2016,175394,needs_id,https://www.inaturalist.org/observations/9488716,https://static.inaturalist.org/photos/12919675/medium.jpg?1516064375,"blank mantis lacewing
All photos copyright David Liittschwager, Natural History Photography.  Http://OneCubicFoot.com",1,0,-21.254069,47.421911,Cercomantispa,Cercomantispa,,Insecta,644311,Animalia,Arthropoda,Insecta,Neuroptera,Mantispidae,Cercomantispa,,,CVB_01,XMAD_002,BOLD:ADH8116
9488717,5/23/2016,175394,research,https://www.inaturalist.org/observations/9488717,https://static.inaturalist.org/photos/12919741/medium.jpg?1516064490,"big nose chaemleon, tail clip
All photos copyright David Liittschwager, Natural History Photography.  Http://OneCubicFoot.com",1,0,-21.254069,47.421911,Calumma tjiasmantoi,Calumma tjiasmantoi,Ranomafana Nosed Chameleon,Reptilia,1119976,Animalia,Chordata,Reptilia,Squamata,Chamaeleonidae,Calumma,Calumma tjiasmantoi,,CVB_01,XMAD_003,
9488718,5/23/2016,175394,research,https://www.inaturalist.org/observations/9488718,https://static.inaturalist.org/photos/12919775/medium.jpg?1516064567,"orange/black assasin bug
All photos copyright David Liittschwager, Natural History Photography.  Http://OneCubicFoot.com",3,0,-21.254069,47.421911,Oncopeltus famelicus,Oncopeltus famelicus,,Insecta,577832,Animalia,Arthropoda,Insecta,Hemiptera,Lygaeidae,Oncopeltus,Oncopeltus famelicus,,CVB_01,XMAD_004,BOLD:ADI0314
9488720,5/23/2016,175394,needs_id,https://www.inaturalist.org/observations/9488720,https://static.inaturalist.org/photos/12919882/medium.jpg?1516064907,"Lepidopteran pupa
All photos copyright David Liittschwager, Natural History Photography.  Http://OneCubicFoot.com",3,0,-21.254069,47.421911,Typical Leafhoppers,Cicadellidae,Typical Leafhoppers,Insecta,53237,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,,,,CVB_01,XMAD_005,BOLD:ACT7490
9488721,5/23/2016,175394,research,https://www.inaturalist.org/observations/9488721,https://static.inaturalist.org/photos/12919820/medium.jpg?1516064730,"kite spider, brown white stripes
All photos copyright David Liittschwager, Natural History Photography.  Http://OneCubicFoot.com",2,0,-21.254069,47.421911,Long-winged Kite Spider,Gasteracantha versicolor,Mediumwing Kitespider,Arachnida,366853,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Gasteracantha,Gasteracantha versicolor,,CVB_01,XMAD_006,BOLD:ADH8039
9488722,5/23/2016,175394,needs_id,https://www.inaturalist.org/observations/9488722,https://static.inaturalist.org/photos/12919813/medium.jpg?1516064701,"bug w narrow head
All photos copyright David Liittschwager, Natural History Photography.  Http://OneCubicFoot.com",2,0,-21.254069,47.421911,Euchelichir,Euchelichir,,Insecta,627817,Animalia,Arthropoda,Insecta,Hemiptera,Enicocephalidae,Euchelichir,,,CVB_01,XMAD_007,BOLD:ADI0779
9488723,5/23/2016,175394,needs_id,https://www.inaturalist.org/observations/9488723,https://static.inaturalist.org/photos/12919845/medium.jpg?1516064806,"narrow waist wasp
All photos copyright David Liittschwager, Natural History Photography.  Http://OneCubicFoot.com",0,0,-21.254069,47.421911,Ropalidia,Ropalidia,Small Brown Paper Wasps,Insecta,120832,Animalia,Arthropoda,Insecta,Hymenoptera,Vespidae,Ropalidia,,,CVB_01,XMAD_008,BOLD:ADH8057
9488724,5/23/2016,175394,needs_id,https://www.inaturalist.org/observations/9488724,https://static.inaturalist.org/photos/12919781/medium.jpg?1516064609,"light, blue/white, yellow banded abdomen
All photos copyright David Liittschwager, Natural History Photography.  Http://OneCubicFoot.com",0,0,-21.254069,47.421911,Gonitis,Gonitis,,Insecta,52097,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Gonitis,,,CVB_01,XMAD_009,BOLD:ACT7490
9488726,5/23/2016,175394,needs_id,https://www.inaturalist.org/observations/9488726,https://static.inaturalist.org/photos/12919917/medium.jpg?1516064982,"green with 2 rows, 4 eyeseach
All photos copyright David Liittschwager, Natural History Photography.  Http://OneCubicFoot.com",0,0,-21.254069,47.421911,Sparassidae,Sparassidae,Huntsman Spiders,Arachnida,47867,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,,,,CVB_01,XMAD_010,BOLD:ADH9173
9488727,5/23/2016,175394,needs_id,https://www.inaturalist.org/observations/9488727,https://static.inaturalist.org/photos/12919932/medium.jpg?1516065019,"sm white, curved abdomen
All photos copyright David Liittschwager, Natural History Photography.  Http://OneCubicFoot.com",0,0,-21.254069,47.421911,Cicadellidae,Cicadellidae,Typical Leafhoppers,Insecta,53237,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,,,,CVB_01,XMAD_011,BOLD:ADH8148
9488728,5/23/2016,175394,needs_id,https://www.inaturalist.org/observations/9488728,https://static.inaturalist.org/photos/12919959/medium.jpg?1516065068,"blow fly, irradescent blue w red eyes
All photos copyright David Liittschwager, Natural History Photography.  Http://OneCubicFoot.com",0,0,-21.254069,47.421911,Hemipyrellia fernandica,Hemipyrellia fernandica,,Insecta,627714,Animalia,Arthropoda,Insecta,Diptera,Calliphoridae,Hemipyrellia,Hemipyrellia fernandica,,CVB_01,XMAD_012,BOLD:ADI0562
9488729,5/23/2016,175394,needs_id,https://www.inaturalist.org/observations/9488729,https://static.inaturalist.org/photos/12919980/medium.jpg?1516065130,"brown grasshopper, check out eyes
All photos copyright David Liittschwager, Natural History Photography.  Http://OneCubicFoot.com",0,0,-21.254069,47.421911,Chirista compta,Chirista compta,,Insecta,627709,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Chirista,Chirista compta,,CVB_01,XMAD_013,
9488731,5/23/2016,175394,needs_id,https://www.inaturalist.org/observations/9488731,https://static.inaturalist.org/photos/12920020/medium.jpg?1516065274,"katydid, one shorter antennae
All photos copyright David Liittschwager, Natural History Photography.  Http://OneCubicFoot.com",1,0,-21.254069,47.421911,Sichelschrecken,Phaneropterinae,Leaf Katydids,Insecta,48128,Animalia,Arthropoda,Insecta,Orthoptera,Tettigoniidae,,,,CVB_01,XMAD_014,BOLD:ADH8269
