id,observed_on,user_id,quality_grade,url,image_url,description,place_guess,latitude,longitude,geoprivacy,taxon_geoprivacy,coordinates_obscured,scientific_name,common_name,taxon_kingdom_name,taxon_phylum_name,taxon_class_name,taxon_order_name,taxon_family_name,taxon_genus_name,taxon_species_name,taxon_subspecies_name
13008,2008-12-15,909,research,http://www.inaturalist.org/observations/13008,https://static.inaturalist.org/photos/25481/medium.jpg,I think this is a sportive lemur,"Fianarantsoa, MG",-21.3366325036,47.2573937632,,obscured,true,Lepilemur microdon,Small-toothed Sportive Lemur,Animalia,Chordata,Mammalia,Primates,Lepilemuridae,Lepilemur,Lepilemur microdon,
13009,2008-12-15,909,needs_id,http://www.inaturalist.org/observations/13009,https://static.inaturalist.org/photos/25482/medium.jpg,"",ranomafana national park madagascar,-21.3691662053,47.3910713196,,,false,Nephilinae,Large-jawed Spiders,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,,,
13010,2008-12-15,909,research,http://www.inaturalist.org/observations/13010,https://static.inaturalist.org/photos/25502/medium.jpg,"",ranomafana national park madagascar,-21.3691662053,47.3910713196,,,false,Trachelophorus giraffa,Giraffe Weevil,Animalia,Arthropoda,Insecta,Coleoptera,Attelabidae,Trachelophorus,Trachelophorus giraffa,
13013,,909,casual,http://www.inaturalist.org/observations/13013,https://static.inaturalist.org/photos/25525/medium.jpg,"",ranomafana national park madagascar,-21.3678791,47.3902404,,,false,Uroplatus,Madagascar Leaf-tailed Geckos,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,Uroplatus,,
19732,2010-03-16,1606,research,http://www.inaturalist.org/observations/19732,https://static.inaturalist.org/photos/35501/medium.jpg?1401922359,"","Vatovavy Fitovinany, MG-FI, MG",-21.3158062822,47.5968863002,,obscured,true,Mantella madagascariensis,Madagascan Mantella,Animalia,Chordata,Amphibia,Anura,Mantellidae,Mantella,Mantella madagascariensis,
23287,2008-08-01,2034,research,http://www.inaturalist.org/observations/23287,https://static.inaturalist.org/photos/42066/medium.jpg?1444341817,"1 August 2008.
Ranomafana National Park, Madagascar.

During a nightwalk I encountered this lemur.

It had to be lit with torch light to not blind it.","Vatovavy Fitovinany, MG-FI, MG",-21.3749650419,47.4586774417,,obscured,true,Microcebus rufus,Rufous Mouse Lemur,Animalia,Chordata,Mammalia,Primates,Cheirogaleidae,Microcebus,Microcebus rufus,
30464,2005-10-25,2851,needs_id,http://www.inaturalist.org/observations/30464,https://static.inaturalist.org/photos/53086/medium.jpg?1444400508,"Day Gecko (Phelsuma madagascariensis kochii) at Ranomafana, Madagascar. Videotaped on 25 October 2005

From a video which can be seen at https://www.flickr.com/photos/arthur_chapman/4152106836","Ranomafana, Fianarantsoa, Madagascar",-21.2539,47.4235,,,false,Phelsuma,Day Geckos,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,Phelsuma,,
30468,2005-10-25,2851,needs_id,http://www.inaturalist.org/observations/30468,https://static.inaturalist.org/photos/53090/medium.jpg?1444400542,"Day Gecko (Phelsuma madagascariensis kochii) at Ranomafana, Madagascar. Videotaped on 25 October 2005

From a video which can be seen at https://www.flickr.com/photos/arthur_chapman/4151592452","Ranomafana, Fianarantsoa, Madagascar",-21.2539,47.4235,,,false,Phelsuma,Day Geckos,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,Phelsuma,,
30549,2005-10-25,2851,research,http://www.inaturalist.org/observations/30549,https://static.inaturalist.org/photos/53165/medium.jpg?1444400984,"Chameleon (Calumma sp. - ref. Daniel Austin, iNaturalis.org 23 Oct 2011) at Ranomafana, Madagascar. Videotaped on 25 October 2005.

From a video which can be seen at https://www.flickr.com/photos/arthur_chapman/4125816965","Vatovavy Fitovinany, MG-FI, MG",-21.2147741765,47.5790969277,,obscured,true,Calumma glawi,Glaw's Chameleon,Animalia,Chordata,Reptilia,Squamata,Chamaeleonidae,Calumma,Calumma glawi,
30554,2005-10-25,2851,needs_id,http://www.inaturalist.org/observations/30554,https://static.inaturalist.org/photos/53169/medium.jpg?1444401001,"Calumma sp. (either gastrotaenia or C. glawi - ref. Daniel Austin, iNaturalist.org) at Ranomafana, Madagascar. Videotaped on 25 October 2005.

From a video which can be seen at https://www.flickr.com/photos/arthur_chapman/4121452908","Ranomafana, Fianarantsoa, Madagascar",-21.2539,47.4235,,,false,Calumma,,Animalia,Chordata,Reptilia,Squamata,Chamaeleonidae,Calumma,,
