,Mad_Electricity,Mad_Literacy,Mad_Urbpop,US_Electricity,US_Literacy,US_Urbpop,SA_Electricity,SA_Literacy,SA_Urbpop,"Mad_Aid, Mad_LE, Mad_Pop, US_Aid, US_LE, US_Pop, SA_Aid, SA_LE, SA_Pop",Mad_Aid,US_Aid,SA_Aid,Mad_LE,US_LE,SA_LE,Mad_Pop,US_Pop,SA_Pop
1950,,,,,,,,,,,,,,35.349,68.202,43.604,4084000,158804000,13628000
1951,,,,,,,,,,,,,,35.591,68.338,43.926,4168000,160872000,13922000
1952,,,,,,,,,,,,,,36.076,68.601,44.555,4257000,163266000,14226000
1953,,,,,,,,,,,,,,36.561,68.842,45.149,4349000,165910000,14542000
1954,,,,,,,,,,,,,,37.047,69.063,45.709,4444000,168736000,14868000
1955,,,,,,,,,,,,,,37.533,69.263,46.234,4544000,171685000,15207000
1956,,,,,,,,,,,,,,38.02,69.441,46.726,4647000,174705000,15557000
1957,,,,,,,,,,,,,,38.506,69.598,47.186,4754000,177751000,15921000
1958,,,,,,,,,,,,,,38.993,69.734,47.617,4865000,180788000,16299000
1959,,,,,,,,,,,,,,39.478,69.848,48.022,4980000,183786000,16691000
1960,,,,,,,,,,,,,,39.962,69.94,48.406,5099000,186721000,17100000
1961,,,,,,,,,,,,,,40.444,70.011,48.777,5224000,189570000,17525000
1962,,,,,,,,,,,,,,40.924,70.064,49.142,5352000,192314000,17966000
1963,,,,,,,,,,,,,,41.401,70.106,49.509,5486000,194932000,18423000
1964,,,,,,,,,,,,,,41.876,70.144,49.888,5625000,197408000,18896000
1965,,,,,,,,,,,,,,42.351,70.188,50.284,5769000,199734000,19385000
1966,,,,,,,,,,,,,,42.828,70.247,50.705,5919000,201896000,19888000
1967,,,,,,,,,,,,,,43.31,70.328,51.148,6074000,203905000,20407000
1968,,,,,,,,,,,,,,43.796,70.44,51.615,6234000,205806000,20942000
1969,,,,,,,,,,,,,,44.283,70.586,52.106,6402000,207659000,21496000
1970,,,,,,,,,,,,,,44.771,70.777,52.62,6576000,209513000,22070000
1971,,,,,,,,,,,,,,45.257,71.017,53.157,6758000,211384000,22665000
1972,,,,,,,,,,,,,,45.735,71.303,53.713,6947000,213270000,23282000
1973,,,,,,,,,,,,,,46.203,71.624,54.281,7143000,215179000,23913000
1974,,,,,,,,,,,,,,46.656,71.972,54.856,7346000,217115000,24553000
1975,,,,,,,,,,,,,,47.094,72.333,55.428,7556000,219081000,25195000
1976,,,,,,,,,,,,,,47.517,72.695,55.99,7773000,221086000,25837000
1977,,,,,,,,,,,,,,47.926,73.044,56.538,7998000,223136000,26481000
1978,,,,,,,,,,,,,,48.317,73.368,57.071,8230000,225223000,27139000
1979,,,,,,,,,,,,,,48.683,73.66,57.59,8470000,227339000,27827000
1980,,,,,,,,,,,,,,49.005,73.91,58.107,8717000,229476000,28557000
1981,,,,,,,,,,,,,,49.26,74.118,58.637,8971000,231636000,29333000
1982,,,,,,,,,,,,,,49.442,74.289,59.191,9234000,233822000,30150000
1983,,,,,,,,,,,,,,49.56,74.432,59.766,9504000,236030000,30994000
1984,,,,,,,,,,,,,,49.634,74.554,60.353,9781000,238257000,31842000
